Adjusted Average Daily Traffic Amount,At Intersection Flag,Construction Zone Flag,Crash Month,Day of Week_0,Day of Week_1,Day of Week_2,Hour of Day,Latitude,Light Condition_0,Light Condition_1,Light Condition_2,Longitude,Percentage of Single Unit Truck Average Daily Traffic,Road Class_0,Road Class_1,Road Class_2,Rural Flag,Speed Limit,Weather Condition_0,Weather Condition_1,Weather Condition_2,Weather Condition_3,crash_count_7d,crash_count_30d,road_curvature,number_of_lanes,label
176939,False,False,5,0,1,1,0,32.92019696,0,1,0,-96.89842424,4.5,0,0,1,False,40,0,0,0,1,0,0,2.9886721518232235,3,0
176939,False,False,5,0,1,1,1,32.92019696,0,1,0,-96.89842424,4.5,0,0,1,False,40,0,0,0,1,0,0,2.9886721518232235,3,0
176939,False,False,5,0,1,1,2,32.92019696,0,1,0,-96.89842424,4.5,0,0,1,False,40,0,0,0,1,0,0,2.9886721518232235,3,0
176939,False,False,5,0,1,1,3,32.92019696,0,1,0,-96.89842424,4.5,0,0,1,False,40,0,0,0,1,0,0,2.9886721518232235,3,0
176939,False,False,5,0,1,1,4,32.92019696,0,1,0,-96.89842424,4.5,0,0,1,False,40,0,0,0,1,0,0,2.9886721518232235,3,0
176939,False,False,5,0,1,1,5,32.92019696,0,1,0,-96.89842424,4.5,0,0,1,False,40,0,0,0,1,0,0,2.9886721518232235,3,0
176939,False,False,5,0,1,1,6,32.92019696,0,1,0,-96.89842424,4.5,0,0,1,False,40,0,0,0,1,0,0,2.9886721518232235,3,0
176939,False,False,5,0,1,1,7,32.92019696,0,1,0,-96.89842424,4.5,0,0,1,False,40,0,0,0,1,0,0,2.9886721518232235,3,0
176939,False,False,5,0,1,1,8,32.92019696,0,1,0,-96.89842424,4.5,0,0,1,False,40,0,0,0,1,0,0,2.9886721518232235,3,0
176939,False,False,5,0,1,1,9,32.92019696,0,1,0,-96.89842424,4.5,0,0,1,False,40,0,0,0,1,0,0,2.9886721518232235,3,0
176939,False,False,5,0,1,1,10,32.92019696,0,1,0,-96.89842424,4.5,0,0,1,False,40,0,0,0,1,0,0,2.9886721518232235,3,0
176939,False,False,5,0,1,1,11,32.92019696,0,1,0,-96.89842424,4.5,0,0,1,False,40,0,0,0,1,0,0,2.9886721518232235,3,0
176939,False,False,5,0,1,1,12,32.92019696,0,1,0,-96.89842424,4.5,0,0,1,False,40,0,0,0,1,0,0,2.9886721518232235,3,0
176939,False,False,5,0,1,1,13,32.92019696,0,1,0,-96.89842424,4.5,0,0,1,False,40,0,0,0,1,0,0,2.9886721518232235,3,0
176939,False,False,5,0,1,1,14,32.92019696,0,1,0,-96.89842424,4.5,0,0,1,False,40,0,0,0,1,0,0,2.9886721518232235,3,0
176939,False,False,5,0,1,1,15,32.92019696,0,1,0,-96.89842424,4.5,0,0,1,False,40,0,0,0,1,0,0,2.9886721518232235,3,1
176939,False,False,5,0,1,1,16,32.92019696,0,1,0,-96.89842424,4.5,0,0,1,False,40,0,0,0,1,0,0,2.9886721518232235,3,0
176939,False,False,5,0,1,1,17,32.92019696,0,1,0,-96.89842424,4.5,0,0,1,False,40,0,0,0,1,0,0,2.9886721518232235,3,0
176939,False,False,5,0,1,1,18,32.92019696,0,1,0,-96.89842424,4.5,0,0,1,False,40,0,0,0,1,0,0,2.9886721518232235,3,0
176939,False,False,5,0,1,1,19,32.92019696,0,1,0,-96.89842424,4.5,0,0,1,False,40,0,0,0,1,0,0,2.9886721518232235,3,0
176939,False,False,5,0,1,1,20,32.92019696,0,1,0,-96.89842424,4.5,0,0,1,False,40,0,0,0,1,0,0,2.9886721518232235,3,0
176939,False,False,5,0,1,1,21,32.92019696,0,1,0,-96.89842424,4.5,0,0,1,False,40,0,0,0,1,0,0,2.9886721518232235,3,0
176939,False,False,5,0,1,1,22,32.92019696,0,1,0,-96.89842424,4.5,0,0,1,False,40,0,0,0,1,0,0,2.9886721518232235,3,0
176939,False,False,5,0,1,1,23,32.92019696,0,1,0,-96.89842424,4.5,0,0,1,False,40,0,0,0,1,0,0,2.9886721518232235,3,0
234589,False,False,1,1,1,1,0,32.9051058,0,0,1,-96.8978156,4.2,0,1,0,False,60,0,0,0,1,0,0,3.1165222355770865,5,0
234589,False,False,1,1,1,1,1,32.9051058,0,0,1,-96.8978156,4.2,0,1,0,False,60,0,0,0,1,0,0,3.1165222355770865,5,0
234589,False,False,1,1,1,1,2,32.9051058,0,0,1,-96.8978156,4.2,0,1,0,False,60,0,0,0,1,0,0,3.1165222355770865,5,0
234589,False,False,1,1,1,1,3,32.9051058,0,0,1,-96.8978156,4.2,0,1,0,False,60,0,0,0,1,0,0,3.1165222355770865,5,0
234589,False,False,1,1,1,1,4,32.9051058,0,0,1,-96.8978156,4.2,0,1,0,False,60,0,0,0,1,0,0,3.1165222355770865,5,0
234589,False,False,1,1,1,1,5,32.9051058,0,0,1,-96.8978156,4.2,0,1,0,False,60,0,0,0,1,0,0,3.1165222355770865,5,1
234589,False,False,1,1,1,1,6,32.9051058,0,0,1,-96.8978156,4.2,0,1,0,False,60,0,0,0,1,0,0,3.1165222355770865,5,0
234589,False,False,1,1,1,1,7,32.9051058,0,0,1,-96.8978156,4.2,0,1,0,False,60,0,0,0,1,0,0,3.1165222355770865,5,0
234589,False,False,1,1,1,1,8,32.9051058,0,0,1,-96.8978156,4.2,0,1,0,False,60,0,0,0,1,0,0,3.1165222355770865,5,0
234589,False,False,1,1,1,1,9,32.9051058,0,0,1,-96.8978156,4.2,0,1,0,False,60,0,0,0,1,0,0,3.1165222355770865,5,0
234589,False,False,1,1,1,1,10,32.9051058,0,0,1,-96.8978156,4.2,0,1,0,False,60,0,0,0,1,0,0,3.1165222355770865,5,0
234589,False,False,1,1,1,1,11,32.9051058,0,0,1,-96.8978156,4.2,0,1,0,False,60,0,0,0,1,0,0,3.1165222355770865,5,0
234589,False,False,1,1,1,1,12,32.9051058,0,0,1,-96.8978156,4.2,0,1,0,False,60,0,0,0,1,0,0,3.1165222355770865,5,0
234589,False,False,1,1,1,1,13,32.9051058,0,0,1,-96.8978156,4.2,0,1,0,False,60,0,0,0,1,0,0,3.1165222355770865,5,0
234589,False,False,1,1,1,1,14,32.9051058,0,0,1,-96.8978156,4.2,0,1,0,False,60,0,0,0,1,0,0,3.1165222355770865,5,0
234589,False,False,1,1,1,1,15,32.9051058,0,0,1,-96.8978156,4.2,0,1,0,False,60,0,0,0,1,0,0,3.1165222355770865,5,0
234589,False,False,1,1,1,1,16,32.9051058,0,0,1,-96.8978156,4.2,0,1,0,False,60,0,0,0,1,0,0,3.1165222355770865,5,0
234589,False,False,1,1,1,1,17,32.9051058,0,0,1,-96.8978156,4.2,0,1,0,False,60,0,0,0,1,0,0,3.1165222355770865,5,0
234589,False,False,1,1,1,1,18,32.9051058,0,0,1,-96.8978156,4.2,0,1,0,False,60,0,0,0,1,0,0,3.1165222355770865,5,0
234589,False,False,1,1,1,1,19,32.9051058,0,0,1,-96.8978156,4.2,0,1,0,False,60,0,0,0,1,0,0,3.1165222355770865,5,0
234589,False,False,1,1,1,1,20,32.9051058,0,0,1,-96.8978156,4.2,0,1,0,False,60,0,0,0,1,0,0,3.1165222355770865,5,0
234589,False,False,1,1,1,1,21,32.9051058,0,0,1,-96.8978156,4.2,0,1,0,False,60,0,0,0,1,0,0,3.1165222355770865,5,0
234589,False,False,1,1,1,1,22,32.9051058,0,0,1,-96.8978156,4.2,0,1,0,False,60,0,0,0,1,0,0,3.1165222355770865,5,0
234589,False,False,1,1,1,1,23,32.9051058,0,0,1,-96.8978156,4.2,0,1,0,False,60,0,0,0,1,0,0,3.1165222355770865,5,0
234589,False,False,3,1,0,0,0,32.90438216,0,1,0,-96.89789474,4.2,1,0,1,False,75,0,0,1,1,1,1,3.8340459807739222,5,0
234589,False,False,3,1,0,0,1,32.90438216,0,1,0,-96.89789474,4.2,1,0,1,False,75,0,0,1,1,1,1,3.8340459807739222,5,0
234589,False,False,3,1,0,0,2,32.90438216,0,1,0,-96.89789474,4.2,1,0,1,False,75,0,0,1,1,1,1,3.8340459807739222,5,0
234589,False,False,3,1,0,0,3,32.90438216,0,1,0,-96.89789474,4.2,1,0,1,False,75,0,0,1,1,1,1,3.8340459807739222,5,0
234589,False,False,3,1,0,0,4,32.90438216,0,1,0,-96.89789474,4.2,1,0,1,False,75,0,0,1,1,1,1,3.8340459807739222,5,0
